id,filepath,label_raw,label,source,split
0c314a635471,Data/raw/roboflow_dirt/train/IMG_20241003_094903_065_jpg.rf.182b5c915d6fb49dd9cfab13d174f6e0.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
f0b0bf6e4779,Data/raw/roboflow_dirt/train/IMG_20241003_095057_014_jpg.rf.18c486892626f002f4f16b59f4ee4400.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
d4c897663485,Data/raw/roboflow_dirt/train/IMG_20241003_094242_672_jpg.rf.1908cb11489f8bf503b3a3b5ae19b40b.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
083db8b83d9e,Data/raw/roboflow_dirt/train/IMG_20241003_093405_237_jpg.rf.1962d633ba150b2bae80cf80721e2371.jpg,High-Dirty,dirty,roboflow_dirt_det,test
513b9d2e79bd,Data/raw/roboflow_dirt/train/IMG_20241003_093405_237_jpg.rf.1868002d873877655b4d87e70fb8a4fd.jpg,High-Dirty,dirty,roboflow_dirt_det,test
99be0752712e,Data/raw/roboflow_dirt/train/IMG_20241002_214850_622_jpg.rf.198b006b8ff641ce1d1a7dc65d65a5a1.jpg,Clean,clean,roboflow_dirt_det,test
a91164be08e8,Data/raw/roboflow_dirt/train/IMG_20241003_094303_233_jpg.rf.192e7d70c395309a0cb09abe0310a7db.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
61fde0021d51,Data/raw/roboflow_dirt/train/IMG_20241003_085827_567_jpg.rf.194cb3fd9f65b2ee082c1165ff25a873.jpg,Clean,clean,roboflow_dirt_det,test
0b8913c9093b,Data/raw/roboflow_dirt/train/IMG_20241003_095745_366_jpg.rf.1965fe2eac6df1e7df4728be06815a2e.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
d2851f7ed80e,Data/raw/roboflow_dirt/train/IMG_20241003_093857_613_jpg.rf.19807a833c9ded604961ab3b825571bd.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
78e12b54ed61,Data/raw/roboflow_dirt/train/IMG_20241003_093410_022_jpg.rf.1833edf006914d36fd0c4f408bc62671.jpg,High-Dirty,dirty,roboflow_dirt_det,test
f2d4f4d053fd,Data/raw/roboflow_dirt/train/IMG_20241003_094239_799_jpg.rf.18c4d0a302eb3ab034d7fcae0e17f762.jpg,Low-Dirty,dirty,roboflow_dirt_det,test
4b55f9328737,Data/raw/roboflow_dirt/train/IMG_20241003_093354_574_jpg.rf.195c189602b9c35c6381f6bf01b03cde.jpg,High-Dirty,dirty,roboflow_dirt_det,test
