id,filepath,label_raw,label_canonical,label,source,split
29949c14e416,Data/curated/Clean/detect_solar_dust_clean_Imgclean_0_0.jpg,Clean,Clean,clean,detect_solar_dust,train
bfaf44fe52ca,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1000_0.jpg,Clean,Clean,clean,detect_solar_dust,val
092c6b0beeae,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1002_0.jpg,Clean,Clean,clean,detect_solar_dust,val
8a6afabd2a4b,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1003_0.jpg,Clean,Clean,clean,detect_solar_dust,val
53dba148595d,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1004_0.jpg,Clean,Clean,clean,detect_solar_dust,train
fb1397d34f92,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1005_0.jpg,Clean,Clean,clean,detect_solar_dust,train
7eb1a43e11a9,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1006_0.jpg,Clean,Clean,clean,detect_solar_dust,train
23ca71adc83f,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1007_0.jpg,Clean,Clean,clean,detect_solar_dust,train
7c743189d76e,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1008_0.jpg,Clean,Clean,clean,detect_solar_dust,test
852b6e3735d6,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1009_0.jpg,Clean,Clean,clean,detect_solar_dust,train
03564ab8848b,Data/curated/Clean/detect_solar_dust_clean_Imgclean_100_0.jpg,Clean,Clean,clean,detect_solar_dust,train
edadf308f0eb,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1010_0.jpg,Clean,Clean,clean,detect_solar_dust,train
1ec40b98ecf8,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1011_0.jpg,Clean,Clean,clean,detect_solar_dust,train
570e8926ca9e,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1012_0.jpg,Clean,Clean,clean,detect_solar_dust,train
5f118700f3f2,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1013_0.jpg,Clean,Clean,clean,detect_solar_dust,test
4c3a28fc360b,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1014_0.jpg,Clean,Clean,clean,detect_solar_dust,train
abe09f963f44,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1015_0.jpg,Clean,Clean,clean,detect_solar_dust,test
5c37463ab171,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1016_0.jpg,Clean,Clean,clean,detect_solar_dust,val
12a6956c3fad,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1018_0.jpg,Clean,Clean,clean,detect_solar_dust,train
39a38add85dc,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1019_0.jpg,Clean,Clean,clean,detect_solar_dust,train
e0b92c130478,Data/curated/Clean/detect_solar_dust_clean_Imgclean_101_0.jpg,Clean,Clean,clean,detect_solar_dust,val
6a737af21690,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1020_0.jpg,Clean,Clean,clean,detect_solar_dust,train
8abb95a30fa4,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1021_0.jpg,Clean,Clean,clean,detect_solar_dust,train
3ea37e89849f,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1022_0.jpg,Clean,Clean,clean,detect_solar_dust,train
61b91d66f846,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1023_0.jpg,Clean,Clean,clean,detect_solar_dust,train
ff8cfa55daa4,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1024_0.jpg,Clean,Clean,clean,detect_solar_dust,test
efc3d834b9ae,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1027_0.jpg,Clean,Clean,clean,detect_solar_dust,train
6b6163f52893,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1028_0.jpg,Clean,Clean,clean,detect_solar_dust,val
752157ba6be5,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1029_0.jpg,Clean,Clean,clean,detect_solar_dust,train
40e0c6f7ce4c,Data/curated/Clean/detect_solar_dust_clean_Imgclean_102_0.jpg,Clean,Clean,clean,detect_solar_dust,train
7185200d44cb,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1030_0.jpg,Clean,Clean,clean,detect_solar_dust,train
3e69f0cee16e,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1031_0.jpg,Clean,Clean,clean,detect_solar_dust,train
1b52f96577a4,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1032_0.jpg,Clean,Clean,clean,detect_solar_dust,train
4d8136ffb893,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1033_0.jpg,Clean,Clean,clean,detect_solar_dust,train
ed8fee83b35a,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1034_0.jpg,Clean,Clean,clean,detect_solar_dust,train
b63d322e1479,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1036_0.jpg,Clean,Clean,clean,detect_solar_dust,train
50137c3d73cc,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1037_0.jpg,Clean,Clean,clean,detect_solar_dust,train
f21bf628468e,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1038_0.jpg,Clean,Clean,clean,detect_solar_dust,train
33b1ed2f9285,Data/curated/Clean/detect_solar_dust_clean_Imgclean_103_0.jpg,Clean,Clean,clean,detect_solar_dust,train
f3aa034d129e,Data/curated/Clean/detect_solar_dust_clean_Imgclean_1040_0.jpg,Clean,Clean,clean,detect_solar_dust,val
